"capture","width","height","fps_target","encode_fps","send_fps","ctl_fps","usable","agent_log","controller_log"
"dxgi","1280","720","5","1","1","-1","False","J:\ProjectTest\remote-desktop\mini-remote-desktop\accept.swenc.range.low.dxgi.1280x720.5.131535.a.log","J:\ProjectTest\remote-desktop\mini-remote-desktop\accept.swenc.range.low.dxgi.1280x720.5.131535.c.log"
"dxgi","1280","720","10","2","2","-1","False","J:\ProjectTest\remote-desktop\mini-remote-desktop\accept.swenc.range.low.dxgi.1280x720.10.131548.a.log","J:\ProjectTest\remote-desktop\mini-remote-desktop\accept.swenc.range.low.dxgi.1280x720.10.131548.c.log"
"dxgi","1280","720","15","1","1","-1","False","J:\ProjectTest\remote-desktop\mini-remote-desktop\accept.swenc.range.low.dxgi.1280x720.15.131601.a.log","J:\ProjectTest\remote-desktop\mini-remote-desktop\accept.swenc.range.low.dxgi.1280x720.15.131601.c.log"
"dxgi","1280","720","20","2","0","-1","False","J:\ProjectTest\remote-desktop\mini-remote-desktop\accept.swenc.range.low.dxgi.1280x720.20.131614.a.log","J:\ProjectTest\remote-desktop\mini-remote-desktop\accept.swenc.range.low.dxgi.1280x720.20.131614.c.log"
"dxgi","1280","720","30","1.01","0","-1","False","J:\ProjectTest\remote-desktop\mini-remote-desktop\accept.swenc.range.low.dxgi.1280x720.30.131627.a.log","J:\ProjectTest\remote-desktop\mini-remote-desktop\accept.swenc.range.low.dxgi.1280x720.30.131627.c.log"
"dxgi","854","480","10","0.99","0.99","-1","False","J:\ProjectTest\remote-desktop\mini-remote-desktop\accept.swenc.range.low.dxgi.854x480.10.131640.a.log","J:\ProjectTest\remote-desktop\mini-remote-desktop\accept.swenc.range.low.dxgi.854x480.10.131640.c.log"
"dxgi","854","480","15","1","1","-1","False","J:\ProjectTest\remote-desktop\mini-remote-desktop\accept.swenc.range.low.dxgi.854x480.15.131653.a.log","J:\ProjectTest\remote-desktop\mini-remote-desktop\accept.swenc.range.low.dxgi.854x480.15.131653.c.log"
"dxgi","854","480","30","1","1","-1","False","J:\ProjectTest\remote-desktop\mini-remote-desktop\accept.swenc.range.low.dxgi.854x480.30.131706.a.log","J:\ProjectTest\remote-desktop\mini-remote-desktop\accept.swenc.range.low.dxgi.854x480.30.131706.c.log"
"wgc","1280","720","5","2.01","2.01","0","False","J:\ProjectTest\remote-desktop\mini-remote-desktop\accept.swenc.range.low.wgc.1280x720.5.131719.a.log","J:\ProjectTest\remote-desktop\mini-remote-desktop\accept.swenc.range.low.wgc.1280x720.5.131719.c.log"
"wgc","1280","720","10","3","3","0","False","J:\ProjectTest\remote-desktop\mini-remote-desktop\accept.swenc.range.low.wgc.1280x720.10.131732.a.log","J:\ProjectTest\remote-desktop\mini-remote-desktop\accept.swenc.range.low.wgc.1280x720.10.131732.c.log"
"wgc","1280","720","15","14.92","14.92","0","False","J:\ProjectTest\remote-desktop\mini-remote-desktop\accept.swenc.range.low.wgc.1280x720.15.131745.a.log","J:\ProjectTest\remote-desktop\mini-remote-desktop\accept.swenc.range.low.wgc.1280x720.15.131745.c.log"
"wgc","1280","720","20","18.1","17.09","15.82","True","J:\ProjectTest\remote-desktop\mini-remote-desktop\accept.swenc.range.low.wgc.1280x720.20.131757.a.log","J:\ProjectTest\remote-desktop\mini-remote-desktop\accept.swenc.range.low.wgc.1280x720.20.131757.c.log"
"wgc","1280","720","30","2.98","2.98","0","False","J:\ProjectTest\remote-desktop\mini-remote-desktop\accept.swenc.range.low.wgc.1280x720.30.131810.a.log","J:\ProjectTest\remote-desktop\mini-remote-desktop\accept.swenc.range.low.wgc.1280x720.30.131810.c.log"
"wgc","854","480","10","2.99","2.99","0","False","J:\ProjectTest\remote-desktop\mini-remote-desktop\accept.swenc.range.low.wgc.854x480.10.131823.a.log","J:\ProjectTest\remote-desktop\mini-remote-desktop\accept.swenc.range.low.wgc.854x480.10.131823.c.log"
"wgc","854","480","15","4.01","4.01","0","False","J:\ProjectTest\remote-desktop\mini-remote-desktop\accept.swenc.range.low.wgc.854x480.15.131836.a.log","J:\ProjectTest\remote-desktop\mini-remote-desktop\accept.swenc.range.low.wgc.854x480.15.131836.c.log"
"wgc","854","480","30","3","3","0","False","J:\ProjectTest\remote-desktop\mini-remote-desktop\accept.swenc.range.low.wgc.854x480.30.131849.a.log","J:\ProjectTest\remote-desktop\mini-remote-desktop\accept.swenc.range.low.wgc.854x480.30.131849.c.log"
